"入庫番号","ステータス","状態","引取完了日","依頼元","車名","認定型式","車台番号","年式","車色","見積金額","登録番号１","登録番号２","登録番号３","登録番号４","NO","車証","印証","委任","譲渡","自賠","返却部品","営業担当者","入庫場所","引取車輌番号","自社管理番号"
"1900128","通常","入庫済","2019/02/26","フェニックスガレージ","MAX","UA-L950S","L950S-0016226","0","ｱｶ","10000","熊本","581","て","3272","無","有","無","無","無","無","","","","091800H19000128","310266"
"1800208","通常","入庫済","2018/05/23","（株）カーライフ","ｱﾄﾚｰ","TA-S220G","S220G-0058529","0","ｼﾛ","14000","熊本","53","う","1588","有","有","無","無","無","無","","","","091800H18000208","300532"
"1800210","通常","入庫済","2018/05/25","有限会社　肥後新ボデー","ｸﾗｳﾝ","E-JZS155","JZS155-0115312","199805","ﾊﾟｰﾙ","33000","熊本","300","む","8993","無","コピー","無","無","無","無","","","","091800H18000210","300534"
"1800416","通常","入庫済","2018/09/10","熊本日産自動車（株）人吉支店 中古車","ﾃｨｰﾀﾞ･ﾗﾃｨｵ","DBA-SC11","SC11-000142","0","ｷﾝ","41000","熊本","500","ゆ","4723","有","有","有","有","有","有","","","","091800H18000416","300917"
"1800245","通常","入庫済","2018/06/12","トヨペット営業","ﾀﾝﾄ","CBA-L375S","L375S-0052321","200804","ｸﾛ","14000","熊本","583","け","3004","有","有","無","無","無","無","","","","091800H18000245","300120"
"1900022","通常","入庫済","2019/01/19","全損残価評価システム","ﾀﾝﾄ","CBA-L350S","L350S-0120819","0","ｼﾛ","10000","熊本","580","う","1847","有","有","無","無","無","有","","","","091800H19000022","310123"
"1900139","通常","入庫済","2019/03/05","十條石油（株）","ｱﾙﾄ","CBA-HA24S","HA24S-112290","200410","ｷﾞﾝ","13000","熊本","581","と","7398","有","有","無","無","無","有","","","","091800H19000139","310312"
"1900113","通常","入庫済","2019/02/25","（有）桑原モータース","ｻﾝﾊﾞｰ","GD-TT1","TT1-031448","200101","ｼﾛ","13000","熊本","41","ふ","7038","無","抹消原本","無","無","無","無","","","","091800H19000113","310250"
"1800399","通常","入庫済","2018/09/05","車検のコバック八代　千丁店","ｷｭｰﾌﾞ","TA-AZ10","AZ10-224211","200101","ｸﾛ","23000","熊本","536","ほ","123","無","抹消原本","無","無","無","無","","","","091800H18000399","300906"
"1900031","通常","入庫済","2019/01/23","個人","ﾐﾗ･ｼﾞｰﾉ","GF-L700S","L700S-0040625","199904","ﾑﾗｻｷ","5000","熊本","580","み","48","有","有","無","無","無","無","","","","091800H19000031","310135"
"1900111","通常","入庫済","2019/02/25","（有）桑原モータース","ﾐﾗ","GF-L700S","L700S-0234293","200107","ｷﾞﾝ","13000","熊本","50","ら","4921","無","抹消原本","無","無","無","無","","","","091800H19000111","310252"
"1800391","通常","入庫済","2018/07/31","株式会社はなまる","ﾀﾝﾄ","DBA-L375S","L375S-0537910","201205","ﾐﾄﾞﾘ","36200","なにわ","782","ろ","6094","無","抹消原本","無","無","無","無","","村田眞一郎","","091800H18000392","300755"
"1800396","通常","入庫済","2018/08/25","日産人吉　営業","ﾏｰﾁ","DBA-AK12","AK12-939600","200905","ﾋﾟﾝｸ","23000","熊本","501","の","1418","無","無","無","無","無","無","","","","091800H18000397","300855"
